GENERALIZED BORN:
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,ESCF,G gas,G solv,TOTAL
20,497.7084,1432.3025,-1094.7453,0.0,0.0,0.0,-1281.2362,-16072.0278,598.8941,11514.3013,-1844.2818,55.563441839999996,17.0975,-4404.803000000002,-1788.71835816,-6176.423858160002
21,492.0173,1426.403,-1128.4974,0.0,0.0,0.0,-1312.2105,-15925.8001,597.1674,11526.0182,-1932.93,54.880237439999995,-3.7392,-4324.902099999999,-1878.04976256,-6206.691062559999
22,522.7415,1412.3125,-1078.9367,0.0,0.0,0.0,-1314.5473,-15773.3875,591.5402,11482.343,-2033.8671,56.65824936,10.8784,-4157.934300000001,-1977.20885064,-6124.264750640001
23,464.9294,1396.4788,-1083.9687,0.0,0.0,0.0,-1262.2905,-15960.2964,616.3547,11559.4006,-1943.2585,55.596423599999994,-7.698,-4269.392099999997,-1887.6620764,-6164.752176399998
24,505.5399,1395.2995,-1087.9721,0.0,0.0,0.0,-1257.1542,-15896.8168,606.5865,11510.6637,-1966.5252,56.18094408,-1.299,-4223.853500000001,-1910.34425592,-6135.496755920001
25,511.8207,1418.004,-1104.855,0.0,0.0,0.0,-1318.5757,-15898.8135,602.5459,11534.939,-1967.0054,57.36110256,0.3801,-4254.9346000000005,-1909.64429744,-6164.19879744
26,477.6131,1400.6267,-1092.52,0.0,0.0,0.0,-1279.6838,-15829.0897,612.9804,11505.41,-1980.5224,58.60521576,-6.0737,-4204.6633,-1921.91718424,-6132.65418424
27,500.3909,1448.8173,-1089.4816,0.0,0.0,0.0,-1277.8002,-15935.6258,605.3122,11559.7624,-1989.9673,56.79725832,1.4189,-4188.6248,-1933.17004168,-6120.37594168
28,509.5736,1403.5703,-1073.9827,0.0,0.0,0.0,-1272.6488,-15913.8765,590.4944,11544.8902,-1986.0147,57.15002592,-3.5803,-4211.979500000001,-1928.86467408,-6144.42447408
29,489.8083,1434.6678,-1091.3926,0.0,0.0,0.0,-1263.23,-15992.5028,602.8847,11505.1992,-1893.6636,56.249637119999996,-0.1644,-4314.565400000001,-1837.41396288,-6152.14376288
