POISSON BOLTZMANN:
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EPB,ENPOLAR,EDISPER,G gas,G solv,TOTAL
72,523.965,1425.552,-1095.3241,0.0,0.0,0.0,-1254.2326,-16129.073,611.9027,11788.1979,-1963.1472,1236.4216,-752.3798,-4129.012100000002,-1479.1054000000004,-5608.117500000002
73,515.0935,1444.5336,-1088.0141,0.0,0.0,0.0,-1264.3779,-16221.8964,625.4852,11890.9757,-1936.4475,1233.3126,-739.5431,-4098.2004,-1442.6779999999999,-5540.8784
74,496.8319,1393.8685,-1107.2133,0.0,0.0,0.0,-1257.7462,-16135.5184,598.3598,11804.9189,-1955.319,1231.9896,-740.2391,-4206.498799999999,-1463.5684999999999,-5670.067299999999
75,561.8071,1439.0859,-1098.3849,0.0,0.0,0.0,-1289.124,-16270.1671,583.2995,11840.3017,-1838.0685,1235.4719,-740.557,-4233.1818,-1343.1536,-5576.335400000001
76,515.5945,1377.3093,-1091.867,0.0,0.0,0.0,-1279.3111,-16186.671,596.2411,11805.8398,-1898.3975,1236.1334,-739.0918,-4262.8644,-1401.3559,-5664.220300000001
77,522.1604,1389.5287,-1091.7536,0.0,0.0,0.0,-1287.7304,-16107.1048,613.0317,11774.3787,-1950.2662,1228.7577,-735.6698,-4187.489299999999,-1457.1783,-5644.667599999999
78,506.0492,1433.053,-1072.6752,0.0,0.0,0.0,-1284.8595,-16207.2828,601.6465,11827.1639,-1895.5163,1228.2899,-733.0555,-4196.9048999999995,-1400.2819,-5597.1868
79,551.1007,1440.75,-1086.6982,0.0,0.0,0.0,-1261.7652,-16184.2292,607.5953,11755.8627,-1881.2459,1226.2393,-741.8589,-4177.383899999999,-1396.8654999999999,-5574.249399999999
80,522.2018,1501.8683,-1100.9056,0.0,0.0,0.0,-1306.9586,-16077.4734,598.1841,11793.7172,-1985.7049,1236.1618,-737.9084,-4069.366200000002,-1487.4515,-5556.817700000002
81,517.8593,1426.806,-1088.9176,0.0,0.0,0.0,-1291.1483,-16024.8537,601.7043,11784.8942,-2034.3593,1228.3419,-729.9297,-4073.6558000000005,-1535.9471000000003,-5609.602900000001
82,535.6789,1398.5505,-1100.6915,0.0,0.0,0.0,-1310.4507,-16117.7757,596.3684,11781.3065,-1913.1897,1221.4292,-727.7835,-4217.0136,-1419.5439999999999,-5636.5576
83,518.6491,1401.6199,-1121.6567,0.0,0.0,0.0,-1296.306,-16101.7355,596.9757,11793.7154,-1963.2953,1230.6146,-729.9524,-4208.738100000004,-1462.6331,-5671.371200000004
84,504.7874,1461.161,-1067.5455,0.0,0.0,0.0,-1295.9525,-16226.5399,603.3947,11820.6498,-1909.6514,1220.1251,-729.4245,-4200.044999999998,-1418.9508,-5618.995799999998
85,521.9523,1393.4554,-1057.7298,0.0,0.0,0.0,-1305.2514,-16089.4963,587.5051,11821.3935,-1985.1267,1230.3406,-730.3233,-4128.171200000001,-1485.1094,-5613.2806
86,506.1791,1427.5303,-1077.4733,0.0,0.0,0.0,-1295.7009,-16315.397,629.0669,11840.272,-1821.5496,1228.1009,-737.4899,-4285.522900000002,-1330.9386000000002,-5616.461500000003
87,546.6061,1403.7702,-1070.2735,0.0,0.0,0.0,-1269.593,-16221.0229,615.1019,11814.5938,-1884.8675,1222.2655,-726.7685,-4180.8174,-1389.3705,-5570.187900000001
88,540.2137,1449.5687,-1086.5366,0.0,0.0,0.0,-1278.8913,-16258.0507,600.0229,11764.5038,-1846.9805,1214.9701,-721.2197,-4269.169499999998,-1353.2300999999998,-5622.399599999997
89,548.8288,1399.1607,-1079.8991,0.0,0.0,0.0,-1287.9921,-16194.2118,622.3239,11811.502,-1932.1386,1228.8333,-740.6668,-4180.2876,-1443.9721,-5624.2597
90,501.3464,1431.4608,-1085.5286,0.0,0.0,0.0,-1257.2938,-16191.8229,603.4345,11827.7478,-1944.8718,1233.3551,-738.0244,-4170.655800000002,-1449.5411,-5620.196900000003
91,492.6661,1470.6458,-1078.6633,0.0,0.0,0.0,-1272.4519,-16220.3473,589.2099,11768.3594,-1882.7497,1223.5602,-733.1771,-4250.581300000002,-1392.3666000000003,-5642.947900000002
92,495.1951,1403.9623,-1082.3889,0.0,0.0,0.0,-1303.2864,-16093.5205,615.3962,11802.2702,-1937.8261,1232.8212,-738.0083,-4162.372000000001,-1443.0131999999999,-5605.385200000001
93,501.8236,1391.3813,-1109.9164,0.0,0.0,0.0,-1273.9775,-16182.2716,604.3502,11777.9422,-1908.4755,1231.7014,-741.1535,-4290.668199999998,-1417.9276,-5708.595799999999
94,472.1298,1472.0064,-1089.5277,0.0,0.0,0.0,-1288.1289,-16146.5429,604.3194,11825.8905,-1966.551,1225.5683,-731.951,-4149.853400000002,-1472.9337,-5622.787100000001
95,527.5494,1444.8361,-1114.0268,0.0,0.0,0.0,-1270.1315,-16211.1213,594.7837,11734.1653,-1826.9005,1220.5504,-735.491,-4293.945100000001,-1341.8410999999999,-5635.7862000000005
96,465.6513,1453.8693,-1096.1481,0.0,0.0,0.0,-1279.8113,-16096.7437,614.1155,11800.0808,-1974.2374,1237.017,-748.9779,-4138.986200000003,-1486.1983,-5625.184500000003
97,509.0719,1492.4567,-1093.0944,0.0,0.0,0.0,-1307.6444,-16122.7873,608.473,11794.6711,-1924.2003,1234.4041,-739.3885,-4118.853400000002,-1429.1847,-5548.0381000000025
98,521.9292,1424.5065,-1079.0182,0.0,0.0,0.0,-1249.6664,-16095.1132,594.0589,11783.3801,-2026.5987,1229.32,-733.7415,-4099.923099999998,-1531.0202,-5630.943299999999
99,496.6066,1407.3348,-1060.0307,0.0,0.0,0.0,-1295.0693,-16173.8905,616.9728,11834.4109,-1984.1668,1219.336,-726.2024,-4173.6654,-1491.0331999999999,-5664.6986
100,524.1129,1406.5918,-1080.579,0.0,0.0,0.0,-1270.9365,-16170.5381,612.0616,11797.1952,-1951.0956,1225.7998,-734.5996,-4182.0921,-1459.8954,-5641.987500000001
101,510.6997,1434.3884,-1075.1047,0.0,0.0,0.0,-1275.6231,-16158.2843,603.2301,11772.2501,-1901.3351,1224.1272,-724.6129,-4188.443799999999,-1401.8208,-5590.2645999999995
102,537.8177,1403.4997,-1073.385,0.0,0.0,0.0,-1308.3753,-16304.958,614.0964,11849.9873,-1854.3729,1214.5827,-721.9094,-4281.3171999999995,-1361.6996000000001,-5643.016799999999
103,514.7694,1433.3085,-1057.0655,0.0,0.0,0.0,-1273.3948,-16224.6626,607.441,11798.2603,-1865.7741,1231.6541,-730.7619,-4201.343699999998,-1364.8819,-5566.225599999998
104,499.0586,1454.5805,-1077.6345,0.0,0.0,0.0,-1294.3772,-16268.1376,615.9595,11840.5303,-1895.7386,1228.1245,-727.6566,-4230.020399999999,-1395.2707,-5625.2910999999995
105,494.9336,1433.6042,-1102.8857,0.0,0.0,0.0,-1277.7006,-16164.1624,586.3098,11807.9113,-1945.3058,1234.7348,-733.9669,-4221.989799999999,-1444.5379000000003,-5666.5277
106,520.3386,1410.7664,-1048.5804,0.0,0.0,0.0,-1294.7178,-16179.6604,598.0697,11892.4704,-2003.7731,1228.03,-733.0933,-4101.313500000002,-1508.8364000000001,-5610.149900000002
107,494.0555,1397.1865,-1112.5925,0.0,0.0,0.0,-1267.7413,-16250.4301,606.0173,11832.2405,-1887.9545,1230.1752,-736.1483,-4301.2641,-1393.9276,-5695.1917
108,500.3545,1426.9421,-1050.278,0.0,0.0,0.0,-1261.1706,-16218.4482,608.0514,11836.5793,-1940.2466,1234.4182,-743.3701,-4157.969500000001,-1449.1985,-5607.1680000000015
109,520.2846,1431.387,-1084.7135,0.0,0.0,0.0,-1281.7042,-16187.4568,600.973,11841.797,-1939.3711,1237.6454,-743.8993,-4159.4329,-1445.625,-5605.0579
110,514.5996,1404.6893,-1077.8681,0.0,0.0,0.0,-1294.8509,-16297.1526,613.214,11888.2989,-1842.8751,1221.004,-725.6787,-4249.069799999999,-1347.5498000000002,-5596.6196
111,479.6966,1416.0113,-1087.69,0.0,0.0,0.0,-1269.9256,-16219.2332,611.1844,11844.5653,-1946.6207,1222.1427,-725.5154,-4225.391200000002,-1449.9933999999998,-5675.384600000001
112,518.6598,1462.0866,-1064.9683,0.0,0.0,0.0,-1293.9821,-16201.9747,608.3491,11811.1043,-1930.7973,1220.0779,-726.8456,-4160.7253,-1437.565,-5598.2903
113,524.3284,1436.1646,-1084.2835,0.0,0.0,0.0,-1294.8715,-16221.7275,616.3024,11785.7074,-1896.7892,1210.0845,-719.0431,-4238.379700000001,-1405.7478,-5644.127500000001
114,523.6563,1424.5412,-1092.2296,0.0,0.0,0.0,-1322.0784,-16294.8478,618.8125,11820.0233,-1861.6944,1205.917,-714.4906,-4322.122499999998,-1370.268,-5692.390499999999
115,507.6169,1414.3386,-1092.237,0.0,0.0,0.0,-1287.928,-16162.3496,600.934,11778.8408,-1947.0793,1213.2266,-722.3776,-4240.784299999999,-1456.2303000000002,-5697.0145999999995
116,514.3285,1398.8077,-1089.7824,0.0,0.0,0.0,-1318.1415,-16198.4784,596.6827,11816.514,-1901.5786,1221.0229,-719.1466,-4280.069400000002,-1399.7023000000002,-5679.771700000002
117,525.2235,1430.3665,-1095.2057,0.0,0.0,0.0,-1291.2501,-16101.7539,591.782,11820.1784,-2032.8839,1224.8737,-725.0478,-4120.659299999999,-1533.058,-5653.717299999999
118,526.7314,1396.2462,-1077.0832,0.0,0.0,0.0,-1268.8977,-16094.6468,608.8816,11826.859,-2034.9054,1235.7271,-739.9098,-4081.909499999998,-1539.0881,-5620.997599999998
119,519.6589,1380.4927,-1086.3677,0.0,0.0,0.0,-1277.1445,-16063.5472,612.515,11870.056,-2063.2203,1232.7645,-736.8186,-4044.336800000001,-1567.2743999999998,-5611.6112
120,521.0792,1388.7443,-1064.2442,0.0,0.0,0.0,-1292.5772,-16238.901,606.9009,11883.664,-1942.3983,1230.6855,-738.9294,-4195.333999999999,-1450.6422,-5645.976199999998
121,505.7878,1395.7397,-1087.465,0.0,0.0,0.0,-1305.0545,-16160.5947,597.3769,11860.3695,-1931.1079,1226.6929,-725.9498,-4193.8403,-1430.3647999999998,-5624.2051
122,495.8149,1431.5815,-1102.8307,0.0,0.0,0.0,-1290.5792,-16109.3684,609.4913,11835.82,-2010.4388,1232.4904,-741.6293,-4130.070600000001,-1519.5776999999998,-5649.648300000001
123,514.6882,1450.5698,-1103.2972,0.0,0.0,0.0,-1278.6034,-16085.599,590.4795,11753.093,-1988.9772,1229.3578,-737.1169,-4158.669100000001,-1496.7363,-5655.4054000000015
124,523.9168,1421.0524,-1074.5567,0.0,0.0,0.0,-1276.6781,-16167.977,618.1539,11864.9791,-2026.0799,1227.4205,-734.6254,-4091.1096000000016,-1533.2848,-5624.394400000001
125,511.0689,1424.2315,-1073.5091,0.0,0.0,0.0,-1266.0689,-16004.4076,612.8149,11830.2782,-2117.6548,1238.6471,-744.0677,-3965.5921,-1623.0753999999997,-5588.6675
126,528.1212,1410.9188,-1102.5528,0.0,0.0,0.0,-1297.424,-16227.0715,594.0465,11866.1848,-1965.6635,1228.6632,-732.9054,-4227.777,-1469.9057000000003,-5697.6827
127,529.675,1388.2009,-1104.9278,0.0,0.0,0.0,-1272.8446,-16168.5166,615.0114,11820.8819,-1974.1054,1235.3585,-743.1204,-4192.519800000002,-1481.8673,-5674.387100000002
128,497.4446,1433.4224,-1091.2638,0.0,0.0,0.0,-1285.3792,-16193.0037,606.0582,11856.4471,-1982.4037,1226.1164,-736.0576,-4176.2744,-1492.3449,-5668.6193
