POISSON BOLTZMANN:
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EPB,ENPOLAR,EDISPER,G gas,G solv,TOTAL
56,492.2342,1461.1689,-1088.8877,0.0,0.0,0.0,-1265.1695,-16154.0516,595.2736,11755.882,-1916.8852,1237.8439,-743.3698,-4203.550100000002,-1422.4110999999998,-5625.9612000000025
57,492.4667,1402.8992,-1090.5497,0.0,0.0,0.0,-1245.8632,-16198.1701,598.9295,11818.7963,-1977.4436,1226.9102,-734.9821,-4221.491299999998,-1485.5155,-5707.006799999998
58,521.0062,1401.3175,-1063.3328,0.0,0.0,0.0,-1301.7608,-16096.5827,615.6748,11859.2615,-2052.7898,1227.0047,-730.2215,-4064.416300000001,-1556.0066000000002,-5620.422900000001
59,495.8137,1422.0509,-1084.3853,0.0,0.0,0.0,-1284.7954,-16137.2045,611.7196,11830.7799,-1984.5843,1239.6441,-743.0294,-4146.0211,-1487.9696,-5633.990700000001
60,516.8349,1389.5332,-1113.6262,0.0,0.0,0.0,-1282.6625,-16166.5457,602.3197,11776.1985,-1899.2962,1221.9301,-716.8734,-4277.9481,-1394.2395,-5672.187599999999
61,548.5589,1424.0409,-1086.6383,0.0,0.0,0.0,-1292.6038,-16024.3807,599.3854,11771.1323,-2043.9875,1224.0138,-722.409,-4060.5053000000025,-1542.3827,-5602.888000000003
62,519.4593,1396.3897,-1129.3594,0.0,0.0,0.0,-1273.6281,-16018.9886,632.2846,11817.7102,-2103.8589,1234.2623,-743.1654,-4056.132300000003,-1612.7620000000002,-5668.894300000003
63,518.1759,1362.6432,-1118.7464,0.0,0.0,0.0,-1264.8325,-16014.9678,608.514,11835.7624,-2079.302,1233.3693,-735.2998,-4073.451200000003,-1581.2325,-5654.683700000002
64,503.6437,1383.6962,-1065.3088,0.0,0.0,0.0,-1276.7318,-16192.3811,608.773,11858.9166,-1927.0964,1236.3177,-738.3924,-4179.3922,-1429.1710999999998,-5608.563300000001
65,511.4688,1394.4144,-1100.3491,0.0,0.0,0.0,-1288.7708,-16137.9343,608.9576,11859.7757,-1978.4509,1234.2481,-736.9629,-4152.437700000002,-1481.1657,-5633.603400000002
66,479.2051,1456.8722,-1115.1297,0.0,0.0,0.0,-1309.1076,-16077.2885,608.2715,11774.6086,-1959.7094,1227.9214,-726.3445,-4182.568400000002,-1458.1325000000002,-5640.700900000002
67,498.5025,1412.4411,-1086.9349,0.0,0.0,0.0,-1293.5971,-16097.2173,609.0645,11840.9101,-2019.6835,1221.7363,-728.7284,-4116.831100000001,-1526.6756,-5643.506700000002
68,507.51,1403.6524,-1071.1358,0.0,0.0,0.0,-1311.0297,-16241.6191,605.873,11841.0708,-1874.6821,1223.3617,-722.968,-4265.6784000000025,-1374.2884,-5639.966800000003
69,483.4402,1396.2547,-1093.9094,0.0,0.0,0.0,-1289.8981,-16226.4005,605.378,11833.5176,-1885.7224,1228.4789,-728.6203,-4291.6175,-1385.8638,-5677.481300000001
70,513.8292,1438.4165,-1100.9115,0.0,0.0,0.0,-1277.4155,-16374.0664,603.2207,11827.5293,-1779.2145,1223.2058,-725.8339,-4369.397700000001,-1281.8426,-5651.240300000001
71,518.9326,1430.1054,-1102.7044,0.0,0.0,0.0,-1269.7257,-16342.3807,595.7315,11790.1224,-1766.0552,1221.5379,-727.3073,-4379.918899999999,-1271.8246,-5651.743499999999
72,506.4105,1420.7737,-1095.0892,0.0,0.0,0.0,-1273.1315,-16335.4364,614.1856,11866.3704,-1844.8659,1221.2591,-728.9983,-4295.9169,-1352.6051,-5648.522
73,520.84,1374.6017,-1092.9401,0.0,0.0,0.0,-1295.6714,-16105.2372,606.2658,11755.513,-1911.7507,1221.467,-728.8981,-4236.628199999999,-1419.1817999999998,-5655.8099999999995
74,512.7932,1440.8852,-1092.9223,0.0,0.0,0.0,-1278.0163,-16219.2659,590.4122,11759.776,-1852.3582,1224.5241,-727.7968,-4286.337899999999,-1355.6308999999997,-5641.968799999999
75,554.4891,1421.5511,-1109.0746,0.0,0.0,0.0,-1276.149,-16234.0374,608.1694,11802.9224,-1843.926,1226.622,-730.0741,-4232.128999999999,-1347.3781,-5579.507099999998
76,505.494,1441.088,-1109.8417,0.0,0.0,0.0,-1291.5991,-16250.2671,618.448,11835.3052,-1856.7548,1221.1646,-723.8736,-4251.372699999998,-1359.4638,-5610.836499999998
77,541.1605,1418.2835,-1090.1677,0.0,0.0,0.0,-1318.7405,-16082.4327,599.1387,11772.9016,-1960.4385,1216.3356,-716.4696,-4159.856600000001,-1460.5724999999998,-5620.429100000001
78,549.8329,1401.7588,-1069.8907,0.0,0.0,0.0,-1288.0604,-16166.4573,615.4299,11840.6513,-1930.0126,1222.3648,-727.9815,-4116.735500000001,-1435.6293,-5552.3648
79,514.581,1416.2103,-1051.5809,0.0,0.0,0.0,-1300.552,-16192.0263,607.8904,11826.727,-1926.2488,1222.8184,-730.1261,-4178.7505,-1433.5565,-5612.307000000001
80,531.9822,1403.2286,-1075.8661,0.0,0.0,0.0,-1283.6315,-16173.3981,582.5756,11823.5524,-1942.701,1225.6345,-729.9199,-4191.5569,-1446.9864000000002,-5638.543299999999
81,498.7038,1434.7503,-1092.9013,0.0,0.0,0.0,-1277.4141,-16025.466,591.3936,11838.6821,-2113.5235,1237.1115,-745.563,-4032.2516000000014,-1621.975,-5654.226600000001
82,532.6401,1410.228,-1099.3011,0.0,0.0,0.0,-1324.2576,-16192.6956,612.3806,11885.2737,-1963.0097,1217.2098,-721.6606,-4175.731899999997,-1467.4605000000001,-5643.192399999997
83,506.6826,1457.0655,-1085.6995,0.0,0.0,0.0,-1309.9122,-16017.4447,612.3525,11872.3226,-2136.277,1222.4167,-725.3384,-3964.6332,-1639.1987,-5603.8319
84,507.028,1394.5511,-1093.1689,0.0,0.0,0.0,-1283.5564,-16150.6702,597.757,11876.5369,-2009.2926,1223.5082,-729.8485,-4151.522500000001,-1515.6329,-5667.155400000001
85,513.1282,1434.7372,-1053.0148,0.0,0.0,0.0,-1300.7794,-16146.3897,601.0874,11802.8002,-1942.9886,1224.8454,-727.7418,-4148.430900000001,-1445.885,-5594.3159000000005
86,506.2553,1392.8983,-1109.4487,0.0,0.0,0.0,-1298.7912,-16302.6847,613.9272,11814.0482,-1823.6529,1217.791,-723.2604,-4383.795600000001,-1329.1223,-5712.917900000001
87,489.1651,1416.5256,-1096.2506,0.0,0.0,0.0,-1301.5704,-16329.4555,595.0884,11814.2034,-1786.1948,1207.5377,-708.3407,-4412.294,-1286.9977999999999,-5699.2918
88,512.5365,1509.723,-1068.3823,0.0,0.0,0.0,-1300.0457,-16353.4694,609.7344,11794.1102,-1792.6759,1216.1372,-727.0257,-4295.793300000003,-1303.5644000000002,-5599.357700000003
89,504.8616,1468.1454,-1117.6188,0.0,0.0,0.0,-1308.043,-16352.4247,606.2869,11875.2554,-1811.8791,1211.9981,-723.8702,-4323.537200000001,-1323.7512000000002,-5647.288400000001
90,495.5977,1426.2547,-1117.5514,0.0,0.0,0.0,-1302.092,-16187.9974,614.1618,11815.4149,-1914.8347,1226.5889,-735.1318,-4256.211700000002,-1423.3776000000003,-5679.589300000002
91,518.0415,1394.2568,-1081.5319,0.0,0.0,0.0,-1298.6243,-16159.0952,606.3753,11774.7536,-1925.7773,1229.4239,-732.8967,-4245.824199999999,-1429.2501,-5675.074299999999
92,533.3815,1393.3329,-1098.264,0.0,0.0,0.0,-1296.3668,-16191.5028,602.7947,11793.7824,-1903.047,1226.5936,-731.4026,-4262.8421,-1407.8560000000002,-5670.6981000000005
93,522.5824,1386.9604,-1071.4018,0.0,0.0,0.0,-1285.923,-16339.0955,625.6961,11833.804,-1819.8019,1219.5014,-725.4192,-4327.377399999999,-1325.7196999999999,-5653.0971
94,529.378,1440.7602,-1113.1678,0.0,0.0,0.0,-1292.047,-16242.9987,614.6995,11840.0734,-1875.2028,1219.7707,-731.3973,-4223.3024000000005,-1386.8294,-5610.1318
95,483.1111,1398.7708,-1066.5693,0.0,0.0,0.0,-1289.8345,-16296.6435,610.7004,11853.5929,-1835.9245,1218.7407,-721.0111,-4306.872100000002,-1338.1949,-5645.067000000002
