POISSON BOLTZMANN:
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EPB,ENPOLAR,EDISPER,G gas,G solv,TOTAL
52,506.3755,1444.6102,-1099.6206,0.0,0.0,0.0,-1283.6197,-16357.4745,607.1536,11744.4412,-1736.6247,38.4592,0.0,-4438.1343000000015,-1698.1655,-6136.299800000002
53,528.2505,1404.3928,-1077.9899,0.0,0.0,0.0,-1288.6218,-16230.4389,619.78,11774.7762,-1892.6426,39.586,0.0,-4269.851099999998,-1853.0566,-6122.907699999998
54,520.2056,1429.7911,-1086.2466,0.0,0.0,0.0,-1310.5502,-16149.3434,614.7392,11765.8081,-1894.7952,40.0233,0.0,-4215.596199999998,-1854.7719,-6070.368099999999
55,503.3934,1412.1548,-1127.1765,0.0,0.0,0.0,-1265.6282,-16167.4387,623.7599,11780.9673,-1948.6477,39.8411,0.0,-4239.968000000001,-1908.8066,-6148.774600000001
56,526.3124,1422.3654,-1102.3538,0.0,0.0,0.0,-1302.164,-16171.7587,602.9986,11800.2813,-1985.3436,40.3992,0.0,-4224.318800000001,-1944.9443999999999,-6169.263200000001
57,525.4123,1440.4504,-1065.4089,0.0,0.0,0.0,-1272.133,-16253.9263,598.6,11809.1192,-1880.3971,40.4102,0.0,-4217.886299999998,-1839.9868999999999,-6057.873199999998
58,486.8041,1440.5889,-1088.1253,0.0,0.0,0.0,-1297.4559,-16124.9508,603.8627,11739.412,-1945.2475,39.9455,0.0,-4239.864299999999,-1905.302,-6145.166299999999
59,509.8684,1397.7152,-1081.7864,0.0,0.0,0.0,-1287.511,-16131.7759,602.4338,11808.3856,-1955.9083,41.2353,0.0,-4182.670300000002,-1914.673,-6097.343300000001
60,479.9964,1423.6341,-1096.98,0.0,0.0,0.0,-1300.1735,-16254.6659,613.6686,11794.2676,-1858.3626,40.099,0.0,-4340.252700000001,-1818.2636,-6158.516300000001
61,517.2824,1377.5654,-1082.5852,0.0,0.0,0.0,-1308.9728,-16174.1556,606.5718,11718.9753,-1855.7711,40.1517,0.0,-4345.3187,-1815.6194,-6160.938099999999
62,509.8034,1382.1518,-1089.9899,0.0,0.0,0.0,-1315.6847,-16361.1589,611.1744,11806.6897,-1747.456,39.1084,0.0,-4457.0142,-1708.3475999999998,-6165.3618
63,469.9575,1466.3231,-1094.89,0.0,0.0,0.0,-1286.852,-16195.3348,605.1612,11789.8443,-1921.6312,40.3555,0.0,-4245.7907,-1881.2757000000001,-6127.0664
64,495.8165,1400.3159,-1069.69,0.0,0.0,0.0,-1272.9535,-16125.7424,603.284,11778.5576,-2003.6645,41.4004,0.0,-4190.411899999999,-1962.2641,-6152.675999999999
65,527.9003,1410.1403,-1065.026,0.0,0.0,0.0,-1261.1206,-16285.5254,589.0522,11705.3257,-1814.9262,40.5171,0.0,-4379.2535000000025,-1774.4091,-6153.662600000002
66,527.9967,1460.8416,-1117.0925,0.0,0.0,0.0,-1261.6578,-16199.2211,621.47,11728.9333,-1868.5171,40.7915,0.0,-4238.729799999999,-1827.7256,-6066.455399999999
